METHOD,TIME
Shading mask EIGEN VECTORIZED RNG,9.98453
Shading mask STD RNG,9.87397
Shading mask PCG RNG,9.97008
Shading mask XOSHIRO RNG,9.63472
Shading mask MIX RNG,9.77566
Shading mask EIGEN RNG,10.2529
Shading mask EIGEN CAST RNG,9.78805
Shading mask EIGEN VECTORIZED RNG,9.77361
Shading mask STD RNG,9.86347
Shading mask PCG RNG,9.75723
Shading mask XOSHIRO RNG,9.89035
Shading mask MIX RNG,9.67237
Shading mask EIGEN RNG,10.6006
Shading mask EIGEN CAST RNG,10.0539
Shading mask EIGEN VECTORIZED RNG,10.0675
Shading mask STD RNG,9.98576
Shading mask PCG RNG,9.37604
Shading mask XOSHIRO RNG,10.121
Shading mask MIX RNG,9.52363
Shading mask EIGEN RNG,10.0026
Shading mask EIGEN CAST RNG,10.0802
Shading mask EIGEN VECTORIZED RNG,9.61605
Shading mask STD RNG,9.92889
Shading mask PCG RNG,9.78175
Shading mask XOSHIRO RNG,9.95279
Shading mask MIX RNG,9.7706
Shading mask EIGEN RNG,9.97719
Shading mask EIGEN CAST RNG,10.0957
Shading mask EIGEN VECTORIZED RNG,10.0941
Shading mask STD RNG,9.74425
Shading mask PCG RNG,9.73257
Shading mask XOSHIRO RNG,9.87303
Shading mask MIX RNG,10.0248
Shading mask EIGEN RNG,9.82734
Shading mask EIGEN CAST RNG,10.0404
Shading mask EIGEN VECTORIZED RNG,10.0883
Shading mask STD RNG,9.3068
Shading mask PCG RNG,9.4187
Shading mask XOSHIRO RNG,9.39884
Shading mask MIX RNG,9.27196
Shading mask EIGEN RNG,9.27265
Shading mask EIGEN CAST RNG,9.32075
Shading mask EIGEN VECTORIZED RNG,9.38635
Shading mask STD RNG,9.63391
Shading mask PCG RNG,9.58032
Shading mask XOSHIRO RNG,9.52277
Shading mask MIX RNG,9.98413
Shading mask EIGEN RNG,9.62849
Shading mask EIGEN CAST RNG,9.39718
Shading mask EIGEN VECTORIZED RNG,9.64313
Shading mask STD RNG,9.29372
Shading mask PCG RNG,9.25691
Shading mask XOSHIRO RNG,9.413
Shading mask MIX RNG,9.46375
Shading mask EIGEN RNG,9.39798
Shading mask EIGEN CAST RNG,9.40896
Shading mask EIGEN VECTORIZED RNG,9.26567
Shading mask STD RNG,11.2913
Shading mask PCG RNG,11.3949
Shading mask XOSHIRO RNG,9.75097
Shading mask MIX RNG,10.733
Shading mask EIGEN RNG,8.67239
Shading mask EIGEN CAST RNG,9.96295
Shading mask EIGEN VECTORIZED RNG,10.18
Shading mask STD RNG,9.7727
Shading mask PCG RNG,9.92573
Shading mask XOSHIRO RNG,9.88952
Shading mask MIX RNG,9.89983
Shading mask EIGEN RNG,9.88949
Shading mask EIGEN CAST RNG,9.91845
Shading mask EIGEN VECTORIZED RNG,9.95544
Shading mask STD RNG,9.46479
Shading mask PCG RNG,9.45797
Shading mask XOSHIRO RNG,9.24649
Shading mask MIX RNG,9.52448
Shading mask EIGEN RNG,9.49145
